date,datetime,cash_type,money,coffee_name,year,month,day,hour,price_band,city
01-03-2024,15:50.5,card,99.89,Latte,2024,March,1,10,Medium,Pune
01-03-2024,19:22.5,card,238.17,Hot Chocolate,2024,March,1,12,Premium,Chennai
01-03-2024,20:18.1,card,185.68,Hot Chocolate,2024,March,1,12,Premium,Ahmedabad
01-03-2024,46:33.0,card,153.68,Americano,2024,March,1,13,Premium,Hyderabad
01-03-2024,48:14.6,card,47.44,Latte,2024,March,1,13,Low,Pune
01-03-2024,39:47.7,card,47.44,Americano with Milk,2024,March,1,15,Low,Kochi
01-03-2024,19:02.8,card,23.94,Hot Chocolate,2024,March,1,16,Low,Bangalore
01-03-2024,39:03.6,card,217.88,Americano with Milk,2024,March,1,18,Premium,Pune
01-03-2024,22:01.8,card,154.27,Cocoa,2024,March,1,19,Premium,Ahmedabad
01-03-2024,23:15.9,card,179.94,Americano with Milk,2024,March,1,19,Premium,Hyderabad
01-03-2024,29:17.4,card,14.94,Americano with Milk,2024,March,1,19,Low,Chennai
02-03-2024,22:07.0,card,242.78,Americano,2024,March,2,10,Premium,Ahmedabad
02-03-2024,30:35.7,cash,209.79,Latte,2024,March,2,10,Premium,Ahmedabad
02-03-2024,41:41.2,card,60.96,Americano with Milk,2024,March,2,10,Medium,Bangalore
02-03-2024,59:45.5,card,53.64,Americano with Milk,2024,March,2,11,Medium,Kolkata
02-03-2024,38:35.5,card,54.02,Americano,2024,March,2,14,Medium,Hyderabad
02-03-2024,37:24.5,card,83.02,Americano with Milk,2024,March,2,16,Medium,Delhi
02-03-2024,34:55.0,card,135.94,Americano,2024,March,2,17,High,Ahmedabad
03-03-2024,10:44.0,cash,113.67,Latte,2024,March,3,10,High,Kolkata
03-03-2024,27:18.6,card,79.89,Latte,2024,March,3,10,Medium,Delhi
03-03-2024,33:56.1,card,156.84,Cortado,2024,March,3,11,Premium,Hyderabad
03-03-2024,26:56.1,card,43.48,Americano,2024,March,3,12,Low,Mumbai
03-03-2024,09:36.3,card,80.11,Hot Chocolate,2024,March,3,13,Medium,Kochi
03-03-2024,06:40.3,card,97.93,Cocoa,2024,March,3,17,Medium,Kolkata
03-03-2024,08:45.9,card,119.46,Cortado,2024,March,3,17,High,Jaipur
03-03-2024,03:23.4,card,198.44,Americano with Milk,2024,March,3,18,Premium,Mumbai
03-03-2024,04:27.9,card,57.92,Americano with Milk,2024,March,3,18,Medium,Kochi
03-03-2024,08:05.0,card,133.42,Hot Chocolate,2024,March,3,18,High,Bangalore
04-03-2024,03:52.0,card,152.18,Latte,2024,March,4,10,Premium,Pune
04-03-2024,54:51.0,card,21.15,Latte,2024,March,4,10,Low,Chennai
04-03-2024,05:16.2,card,155.81,Americano with Milk,2024,March,4,11,Premium,Jaipur
04-03-2024,04:37.7,card,50.93,Espresso,2024,March,4,14,Medium,Bangalore
05-03-2024,59:52.7,card,25.61,Latte,2024,March,5,9,Low,Hyderabad
05-03-2024,34:56.0,card,237.73,Latte,2024,March,5,14,Premium,Bangalore
05-03-2024,34:06.0,card,241.75,Latte,2024,March,5,17,Premium,Pune
05-03-2024,35:25.0,card,204.02,Hot Chocolate,2024,March,5,17,Premium,Hyderabad
05-03-2024,36:28.6,card,83.11,Cocoa,2024,March,5,17,Medium,Jaipur
05-03-2024,37:13.7,card,33.44,Hot Chocolate,2024,March,5,17,Low,Pune
05-03-2024,38:09.4,card,174.22,Hot Chocolate,2024,March,5,17,Premium,Delhi
05-03-2024,56:15.8,card,115.64,Cortado,2024,March,5,17,High,Chennai
05-03-2024,01:31.2,card,39.29,Hot Chocolate,2024,March,5,18,Low,Jaipur
06-03-2024,30:27.1,cash,128.84,Americano with Milk,2024,March,6,12,High,Delhi
06-03-2024,24:07.7,card,18.25,Americano,2024,March,6,13,Low,Kochi
06-03-2024,25:14.4,card,228.24,Cortado,2024,March,6,13,Premium,Jaipur
06-03-2024,52:01.8,card,72.11,Cappuccino,2024,March,6,14,Medium,Kochi
06-03-2024,53:18.3,card,169.01,Cappuccino,2024,March,6,14,Premium,Hyderabad
07-03-2024,08:58.9,cash,84.81,Latte,2024,March,7,10,Medium,Delhi
07-03-2024,18:40.5,card,134.82,Hot Chocolate,2024,March,7,10,High,Chennai
07-03-2024,03:59.0,card,141.21,Latte,2024,March,7,11,High,Pune
07-03-2024,25:44.0,cash,54.37,Latte,2024,March,7,11,Medium,Ahmedabad
07-03-2024,40:22.6,card,242.7,Americano,2024,March,7,15,Premium,Bangalore
07-03-2024,41:28.8,card,196.03,Americano with Milk,2024,March,7,15,Premium,Mumbai
08-03-2024,34:41.3,card,235.48,Cortado,2024,March,8,10,Premium,Chennai
08-03-2024,22:28.7,card,224.76,Cappuccino,2024,March,8,12,Premium,Delhi
08-03-2024,53:02.0,card,153.5,Americano,2024,March,8,13,Premium,Ahmedabad
08-03-2024,44:12.7,card,231.25,Americano,2024,March,8,14,Premium,Chennai
08-03-2024,45:11.0,card,31.24,Americano,2024,March,8,14,Low,Delhi
08-03-2024,46:11.2,card,57.04,Americano with Milk,2024,March,8,14,Medium,Kolkata
08-03-2024,57:51.5,card,20.85,Latte,2024,March,8,18,Low,Kolkata
08-03-2024,59:24.9,card,88.08,Latte,2024,March,8,18,Medium,Kochi
09-03-2024,49:37.3,cash,103.28,Hot Chocolate,2024,March,9,11,High,Chennai
